cycle,intercept,slope,weighted_residual_mean,n
2015_2016,-4.125279705730577,1.0597982184205064,1.3988759859638085e-14,2181
2017_2018,-3.937096405053751,1.0683439026805817,-2.2121709479485613e-15,2185
