direction,train_cycle,acceleration_per_5_years,term_score_log_odds,common_support_low,common_support_high,training_bin_unweighted_n,display_eligible
train_2015_2016_test_2017_2018,2015_2016,-2.27375756237344,-1.2236987219789024,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-2.200223683322833,-1.2236987219789024,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-2.126689804272226,-1.2236987219789024,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-2.0531559252216187,-1.2236987219789024,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.9796220461710117,-1.2236987219789024,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.9060881671204046,-1.2023587637724182,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.8325542880697974,-1.2023587637724182,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.7590204090191903,-1.2023587637724182,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.6854865299685833,-1.2023587637724182,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.6119526509179762,-1.179371022225532,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.5384187718673692,-1.179371022225532,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.464884892816762,-1.179371022225532,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.3913510137661549,-1.1492801405016073,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.3178171347155478,-1.1492801405016073,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.2442832556649406,-1.133287265649972,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.1707493766143335,-1.133287265649972,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.0972154975637265,-0.3118962752505529,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-1.0236816185131195,-0.3118962752505529,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-0.9501477394625124,-0.2091165215350008,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-0.8766138604119051,-0.12632501541384814,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-0.8030799813612981,-0.12632501541384814,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-0.7295461023106911,-0.11807319580552848,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-0.6560122232600838,-0.08822314145725046,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-0.5824783442094768,-0.06740882563545214,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,-0.5089444651588697,-0.04679881549153471,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,-0.43541058610826266,-0.04679881549153471,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,-0.3618767070576556,-0.025839720061923952,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,-0.28834282800704836,0.09049221330466078,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,-0.2148089489564411,0.11263845060122894,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,-0.14127506990583427,0.14095151777294843,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,-0.06774119085522701,0.14095151777294843,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,0.005792688195379814,0.16022366232867608,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,0.07932656724598708,0.19336521917875943,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,0.15286044629659434,0.19336521917875943,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,0.22639432534720116,0.22065460138431803,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,0.29992820439780843,0.24608081853704444,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,0.37346208344841525,0.24608081853704444,-2.27375756237344,5.07963034268727,72,True
train_2015_2016_test_2017_2018,2015_2016,0.4469959624990225,0.3860910043774352,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,0.5205298415496298,0.3860910043774352,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,0.5940637206002366,0.4577999751353155,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,0.6675975996508439,0.4577999751353155,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,0.7411314787014511,0.5506815861489669,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,0.814665357752058,0.5506815861489669,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,0.8881992368026652,0.6346254558369986,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,0.9617331158532725,0.6346254558369986,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.0352669949038793,0.6597276890439183,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.1088008739544866,0.6597276890439183,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.1823347530050934,0.6597276890439183,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.2558686320557007,0.7218043503559916,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.329402511106308,0.7218043503559916,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.4029363901569147,0.7218043503559916,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.476470269207522,0.7218043503559916,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.5500041482581288,0.8066818392729067,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.623538027308736,0.8066818392729067,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.6970719063593434,0.8066818392729067,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.7706057854099502,0.8066818392729067,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.8441396644605579,0.8066818392729067,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.9176735435111647,0.8066818392729067,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,1.9912074225617715,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.0647413016123783,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.138275180662986,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.211809059713593,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.2853429387641997,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.3588768178148074,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.4324106968654142,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.505944575916021,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.5794784549666288,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.6530123340172356,0.9358456397044036,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.7265462130678424,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.80008009211845,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.873613971169057,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,2.9471478502196637,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.0206817292702706,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.0942156083208783,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.167749487371485,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.241283366422092,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.3148172454726996,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.3883511245233064,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.4618850035739133,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.535418882624521,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.608952761675128,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.6824866407257346,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.7560205197763423,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.829554398826949,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.903088277877556,1.0593686906921933,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,3.9766221569281637,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.0501560359787705,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.123689915029377,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.197223794079985,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.270757673130592,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.344291552181199,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.4178254312318055,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.491359310282413,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.56489318933302,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.638427068383627,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.7119609474342345,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.785494826484841,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.859028705535448,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,4.932562584586056,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,5.006096463636663,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2015_2016_test_2017_2018,2015_2016,5.07963034268727,1.106553784254676,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-2.27375756237344,-0.1429408523892985,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-2.200223683322833,-0.1429408523892985,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-2.126689804272226,-0.1429408523892985,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-2.0531559252216187,-0.1429408523892985,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-1.9796220461710117,-0.6283403634471554,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-1.9060881671204046,-0.6283403634471554,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-1.8325542880697974,-0.6283403634471554,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-1.7590204090191903,-0.6283403634471554,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-1.6854865299685833,-0.6300661219719381,-2.27375756237344,5.07963034268727,73,True
train_2017_2018_test_2015_2016,2017_2018,-1.6119526509179762,-0.6300661219719381,-2.27375756237344,5.07963034268727,73,True
