direction,train_cycle,test_cycle,train_n,test_n,test_positive_n,brier_d,auc_d,calibration_intercept_d,calibration_slope_d,brier_b,brier_c,auc_b,auc_c,calibration_intercept_c,calibration_slope_c,brier_delta_d_minus_c,auc_delta_d_minus_c,brier_delta_d_minus_b,auc_delta_d_minus_b,result_status
train_2015_2016_test_2017_2018,2015_2016,2017_2018,2181,2185,350,0.09067733477165343,0.7840638000081477,-0.0015807835261715296,1.0400369142469432,0.0939352001341173,0.091452355021787,0.75938679784128,0.793112436313359,-0.0063705352285972,0.99552719358631,-0.0007750202501335679,-0.009048636305211355,-0.003257865362463863,0.024677002166867634,provisional_pending_stage4_review
train_2017_2018_test_2015_2016,2017_2018,2015_2016,2185,2181,332,0.08870544272510997,0.7860443389299636,0.006654609633351933,1.0427427778506306,0.0934672932792736,0.089874011866795,0.740105349210734,0.776647097890523,0.0051979361008769,0.911970224806643,-0.001168569141685033,0.009397241039440618,-0.00476185055416363,0.045938989719229606,provisional_pending_stage4_review
