"anchor_percentile","start_acceleration_years","end_acceleration_years","prevalence_start","prevalence_end","local_five_year_prevalence_ratio","ci_low_95","ci_high_95"
10,-7.45678378034195,-2.45678378034195,0.0544578446692784,0.0880879772732262,1.61754431906336,1.20196720365654,2.17680616923206
25,-4.47320527923718,0.526794720762815,0.0689693794538111,0.124986589298318,1.81220405762853,1.38882415333691,2.36465036887116
50,-1.20185889508423,3.79814110491577,0.102998241641131,0.162926268157211,1.58183543292791,1.37095650382358,1.82515151274866
75,3.15970225618818,8.15970225618818,0.156102736775751,0.201298154955381,1.28952354784501,1.15248424243328,1.44285788839585
90,7.80687988285761,12.8068798828576,0.19868051772575,0.230893139662061,1.16213276623718,1.04957333136318,1.28676341710015
