"sensitivity","lower_acceleration_years","upper_acceleration_years","n","positive_n","design_df","prevalence_ratio","ci_low_95","ci_high_95","p_value","predicted_above_one_n","predicted_max","warning_n","warnings"
"full",-Inf,Inf,4366,682,30,1.1475644343644,1.09984405187883,1.19735532393747,2.51174370794198e-07,6,11.9282932562171,0,""
"weighted_1_to_99_percent",-11.6822033288698,25.761430620625,4238,642,30,1.34238682520668,1.2610964780896,1.42891715249119,1.10186499787894e-10,13,1.56032461287003,0,""
"weighted_2.5_to_97.5_percent",-10.2485855954903,17.9742379331623,4079,599,30,1.47433739693005,1.34685924735614,1.61388115666382,8.92779770012547e-10,10,1.52401782124268,0,""
