"acceleration_years","adjusted_prevalence","ci_low_95","ci_high_95"
-11.6822033288698,0.0697942103712283,0.0274336089175563,0.166374902960921
-11.0581427630449,0.0637140753923267,0.0292626962920347,0.13316167900262
-10.43408219722,0.0592525251615367,0.0310400704201073,0.110191314653961
-9.81002163139505,0.0562011862148629,0.032719577782213,0.0948816416996281
-9.18596106557013,0.054380658314192,0.0342949945474518,0.085192199582876
-8.56190049974522,0.0536101343661663,0.0358045184055861,0.0795400368306193
-7.93783993392031,0.0537628817220119,0.0373556789325228,0.0768014550676858
-7.31377936809539,0.0547569080864705,0.0391113072988743,0.076165085187713
-6.68971880227048,0.0565422750995228,0.0412500200657531,0.0770481012106896
-6.06565823644557,0.0590910733992282,0.0439309059802277,0.0790503148382252
-5.44159767062065,0.0623889549695413,0.0472767498502555,0.0819164893492371
-4.81753710479574,0.066427436689132,0.0513685381970396,0.0855030140465948
-4.19347653897083,0.0711964649553784,0.0562391823336514,0.0897534456771237
-3.56941597314591,0.0766769873682026,0.0618606582408352,0.0946838368882077
-2.945355407321,0.0828335267314142,0.0681272699670516,0.100372408738625
-2.32129484149609,0.0896069924711264,0.0748480932050535,0.106939723108775
-1.69723427567117,0.0969081753257419,0.0817710913803514,0.11449795895586
-1.07317370984626,0.104612520292586,0.088650610989486,0.123060357454769
-0.449113144021343,0.112556825318629,0.0953238978486089,0.132449058194535
0,0.118310362040347,0.0999640775116939,0.139501835607914
0.174947421803569,0.120539181551525,0.101735275724066,0.142268182762682
0.799007987628483,0.128390882790248,0.107929717722242,0.15206980014496
1.4230685534534,0.136054728019623,0.114004008857742,0.1615926250188
2.04712911927831,0.143492748706869,0.120017856087428,0.17066869767315
2.67118968510322,0.150674590494475,0.125995690765868,0.179196284601761
3.29525025092814,0.157577451676286,0.13193573766832,0.187128348829091
3.91931081675305,0.164185841573979,0.137816348449546,0.194462825490386
4.54337138257797,0.170491206887774,0.143600305526319,0.201234493166176
5.16743194840288,0.176491468951638,0.149238222890173,0.207507687061531
5.79149251422779,0.182190508456099,0.154672125019882,0.21336902930236
6.41555308005271,0.187597627508045,0.159840131593322,0.218919409381352
7.03961364587762,0.19272701249141,0.164682836858004,0.224264715095789
7.66367421170253,0.197597215447944,0.169151282522697,0.229505455292865
8.28773477752745,0.202230666795865,0.173215406368305,0.23472640165829
8.91179534335236,0.206653228190736,0.176870948178414,0.239988260043856
9.53585590917728,0.210893791162676,0.18014272837319,0.245323439655616
10.1599164750022,0.214983820086704,0.183083220297227,0.250736771039579
10.7839770408271,0.21894510919913,0.185755001287045,0.256199568697891
11.408037606652,0.222777855431108,0.18820403618681,0.261655872156781
12.0320981724769,0.22648019086153,0.190468239911223,0.267054802107406
12.6561587383018,0.230050690340943,0.192579213539758,0.272353871825876
13.2802193041268,0.233488349302859,0.194562721155602,0.27751840553239
13.9042798699517,0.236792561486601,0.19643944829913,0.2825206657465
14.5283404357766,0.239963096784511,0.198225813856381,0.287338921448725
15.1524010016015,0.243000079392218,0.199934721849385,0.291956573678505
15.7764615674264,0.245903966409818,0.201576208622434,0.29636138565454
16.4005221332513,0.248675527013424,0.203157977473272,0.300544827458119
17.0245826990762,0.251315822291292,0.204685829635481,0.304501528012042
17.6486432649012,0.253826185816323,0.206164006660432,0.308228820541479
18.2727038307261,0.256208205006833,0.207595460115622,0.311726366479616
18.896764396551,0.258463703310653,0.208982063108906,0.314995843883861
19.5208249623759,0.260594723232688,0.210324775993351,0.318040688325585
20.1448855282008,0.262603510213805,0.211623776418225,0.320865876194194
20.7689460940257,0.264492497358518,0.212878561961034,0.323477742116376
21.3930066598506,0.266264291000331,0.214088031981606,0.325883823653654
22.0170672256755,0.267921657086961,0.215250554098892,0.328092727577983
22.6411277915005,0.269467508362091,0.216364019717749,0.330114012929572
23.2651883573254,0.27090489231634,0.217425892316151,0.331958086727335
23.8892489231503,0.272236979877174,0.218433251661494,0.333636108715276
24.5133094889752,0.27346705480557,0.219382836698657,0.335159901946421
25.1373700548001,0.274598503766045,0.220271089544678,0.33654186630859
25.761430620625,0.275634807036299,0.221094202710538,0.337794892430974
