"probability","percentile","acceleration_years"
0.01,1,-11.6822033288698
0.025,2.5,-10.2485855954903
0.05,5,-8.92650072608313
0.1,10,-7.45678378034195
0.25,25,-4.47320527923718
0.5,50,-1.20185889508423
0.75,75,3.15970225618818
0.9,90,7.80687988285761
0.95,95,12.3124541967582
0.975,97.5,17.9742379331623
0.99,99,25.761430620625
