"outcome","outcome_label","model","n","positive_n","design_df","log_prevalence_ratio","standard_error","t_statistic","prevalence_ratio","ci_low_95","ci_high_95","p_value_raw","p_value_holm","result_status"
"any_disability_six","Any six-domain disability","model_c",4358,1247,30,0.105942258875768,0.0173124562552948,6.11942391729459,1.11175768051483,1.07313632544011,1.15176898860152,9.99029696268364e-07,1.99805939253673e-06,"secondary_provisional_pending_stage2_review"
"fair_poor_general_health","Fair or poor general health","model_c",4076,1025,30,0.151972530218364,0.0148737452967306,10.2175025312401,1.16412825764386,1.12929810066504,1.20003265696351,2.76533534025743e-11,8.29600602077229e-11,"secondary_provisional_pending_stage2_review"
"phq9_ge10","PHQ-9 score at least 10","model_c",4021,345,30,0.148032384641405,0.0249626736592146,5.93014941677777,1.15955044738036,1.10191745564465,1.22019778626104,1.69516305632074e-06,1.99805939253673e-06,"secondary_provisional_pending_stage2_review"
