"dimension","level","n","positive_n","negative_n","weighted_prevalence_percent","represented_strata","represented_psus","log_prevalence_ratio","standard_error","prevalence_ratio","ci_low_95","ci_high_95","p_value_descriptive","q_value_bh","supported_at_q_0_10","reporting_role"
"sex","Male",2107,279,1828,9.53392748881634,30,60,0.171244091502375,0.0220465283029842,1.18678039668002,1.13453068722685,1.24143641578059,1.14828974160401e-08,0.264238412058941,FALSE,"descriptive_level_estimate"
"sex","Female",2259,403,1856,13.8835832696233,30,60,0.125785268206736,0.0238177995888488,1.13403862798782,1.08019635212763,1.19056466653994,1.0530494876156e-05,0.264238412058941,FALSE,"descriptive_level_estimate"
"age_group","20-49",2045,105,1940,4.14664411780284,30,60,0.182032013653475,0.0366991433455091,1.19965259852771,1.11302592400372,1.29302141676753,2.60732396068719e-05,0.264238412058941,FALSE,"descriptive_level_estimate"
"age_group","50-64",1223,249,974,17.743042601191,30,60,0.197737309593055,0.0367511255780228,1.21864222614869,1.13052428945036,1.31362845470101,7.95619259914624e-06,0.264238412058941,FALSE,"descriptive_level_estimate"
"age_group","65+",1098,328,770,23.8604830048361,30,60,0.121324227223869,0.0256160446732603,1.12899090261827,1.07144615721004,1.18962623517529,4.90154162048357e-05,0.264238412058941,FALSE,"descriptive_level_estimate"
"race_ethnicity","Non-Hispanic White",1470,253,1217,11.65574806062,30,59,0.250624582176237,0.0279114908047672,1.28482764658001,1.21363709332752,1.36019415564355,5.27745861861108e-10,0.00102349099894381,TRUE,"supported_interaction_level_estimate"
"race_ethnicity","Mexican American",691,94,597,9.76021162730206,27,49,0.123512441230522,0.0612091387805005,1.13146408125998,0.998507817438328,1.28212413045084,0.052625326951058,0.00102349099894381,TRUE,"supported_interaction_level_estimate"
"race_ethnicity","Other Hispanic",516,98,418,13.142432633965,30,56,0.162336074466657,0.0337597551805934,1.17625548433629,1.0978892319279,1.26021544268326,3.99816129261776e-05,0.00102349099894381,TRUE,"supported_interaction_level_estimate"
"race_ethnicity","Non-Hispanic Black",911,162,749,13.7015211716741,30,54,0.065806527049286,0.0178574782966425,1.06802006418252,1.02977125081064,1.10768955396501,0.000900047989111131,0.00102349099894381,TRUE,"supported_interaction_level_estimate"
"race_ethnicity","Non-Hispanic Asian",578,35,543,5.94590581548777,30,55,0.401891737143977,0.102393776089121,1.49464950889186,1.21261083327734,1.84228698369195,0.000469103962346494,0.00102349099894381,TRUE,"supported_interaction_level_estimate"
"race_ethnicity","Other or multiracial",200,40,160,18.1183056890629,30,56,0.0392715771426043,0.0322231686560341,1.04005289989423,0.973812097178842,1.11079954511979,0.232441096682756,0.00102349099894381,TRUE,"supported_interaction_level_estimate"
"NHANES_cycle","2015_2016",2181,332,1849,11.6288073597511,15,30,0.156818989985331,0.0285359500379552,1.16978385214376,1.10355943444839,1.23998238610526,5.75125831169034e-06,0.435892984996182,FALSE,"descriptive_level_estimate"
"NHANES_cycle","2017_2018",2185,350,1835,11.9049223757511,15,30,0.124276165498941,0.0283653114756466,1.13232853789892,1.06859689103709,1.19986117168649,0.000132694446163992,0.435892984996182,FALSE,"descriptive_level_estimate"
