sample,sample_label,cycle,cycle_label,n,weighted_population_sum,weighted_mean,taylor_se,ci_low_95,ci_high_95,weighted_sd_descriptive,stratum_count,psu_count
canonical_full,Full canonical sample,2015_2016,2015–2016,2645,129291327.2928625,42.14086920922212,0.8303761126239522,40.51333202847917,43.768406389965065,21.439843312092712,15,30
canonical_full,Full canonical sample,2017_2018,2017–2018,2578,130214165.91839951,43.22591755907646,0.6606498260076311,41.9310439001015,44.52079121805141,21.859663587061693,15,30
sensitivity_no_topcode,No-topcode sensitivity,2015_2016,2015–2016,2524,125189315.95560804,40.806280366443225,0.7803517932976985,39.27679085157973,42.33576988130672,20.38970194811441,15,30
sensitivity_no_topcode,No-topcode sensitivity,2017_2018,2017–2018,2427,125220640.5226205,41.615734908665125,0.5842854489001368,40.47053542882086,42.76093438850939,20.663277901641194,15,30
